Title,Certificate,Runtime,Genres,IMDb-rating,Metascore,Description,Directors,Stars,Votes,Gross
The Squid and the Whale,R,81 min,"Comedy, Drama",7.3,82,Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,Noah Baumbach,"Owen Kline, Jeff Daniels, Laura Linney, Jesse Eisenberg",74817,7362100
American Fork,PG-13,84 min,"Comedy, Drama",6.3,,"At nearly 400 pounds, Tracy Orbison is a wide target. When he sets out to pursue his dream of acting, the grocery clerk finds an assortment of people waiting to dash his dreams: his acting ...                See full summary »",Chris Bowman,"Hubbel Palmer, Kathleen Quinlan, Geoff Hansen, Scott Lincoln",588,3223
That's What I Am,PG,101 min,"Comedy, Drama, Romance",7,,"In 1965, 13 y.o. paperboy Andy is paired up with a geek on a project in the popular junior high teacher's class. Andy learns and grows from it.",Michael Pavone,"Ed Harris, Chase Ellison, Molly Parker, Daniel Roebuck",10142,
King of California,PG-13,93 min,"Comedy, Drama",6.6,63,An unstable dad who after getting out of a mental institution tries to convince his daughter that there's Spanish gold buried somewhere under suburbia.,Mike Cahill,"Michael Douglas, Evan Rachel Wood, Willis Burks II, Laura Kachergus",21758,263674
Hamlet 2,R,92 min,"Comedy, Music",6.3,,"In this irreverent comedy, a failed actor-turned-worse-high-school-drama-teacher rallies his Tucson, AZ students as he conceives and stages politically incorrect musical sequel to Shakespeare's Hamlet.",Andrew Fleming,"Steve Coogan, Elisabeth Shue, Catherine Keener, Joseph Julian Soria",16338,4881867
The Trotsky,Not Rated,120 min,"Comedy, Drama",6.8,,A Montreal high school student who believes he is the reincarnation of Leon Trotsky starts a revolution against apathy among his fellow students.,Jacob Tierney,"Liane Balaban, Jay Baruchel, Taylor Baruchel, Dan Beirne",5702,
Lymelife,R,95 min,"Comedy, Drama, Romance",6.9,64,A family unit begins to bow under the pressure of a failing marriage.,Derick Martini,"Rory Culkin, Alec Baldwin, Jill Hennessy, Emma Roberts",13579,429307
Das Novembermanifest,,104 min,"Comedy, Drama",7.7,,"Impelled by a spirit which still preserves a patina of idealism, Alfredo arrives in Madrid intent on creating ""a performance which is freer, straight from the heart, capable of making ...                See full summary »",Achero Mañas,"Óscar Jaenada, Ingrid Rubio, Javier Ríos, Juan Díaz",4068,
The Secret in Their Eyes,R,129 min,"Drama, Mystery, Romance",8.2,80,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo",184309,6391436
Burn After Reading,R,96 min,"Comedy, Crime, Drama",7,63,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.,"Ethan Coen, Joel Coen","Brad Pitt, Frances McDormand, George Clooney, John Malkovich",299645,60355347
Somebody Up There Likes Me,Not Rated,76 min,"Comedy, Romance",5.8,,"A comedy about a man, his best friend, and the woman they both adore watching their lives fly by.",Bob Byington,"Nick Offerman, Keith Poulson, Jess Weixler, Stephanie Hunt",1459,83796
Ruby Sparks,R,104 min,"Comedy, Drama, Fantasy",7.2,67,"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence.","Jonathan Dayton, Valerie Faris","Paul Dano, Zoe Kazan, Annette Bening, Antonio Banderas",93562,2540106
Lost Highway,R,134 min,"Mystery, Thriller",7.6,,"After a bizarre encounter at a party, a jazz saxophonist is framed for the murder of his wife and sent to prison, where he inexplicably morphs into a young mechanic and begins leading a new life.",David Lynch,"Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito",125540,3796699
Blue Velvet,R,120 min,"Drama, Mystery, Thriller",7.8,76,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",David Lynch,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern",173084,8551228
Solaris,PG,167 min,"Drama, Mystery, Sci-Fi",8.1,90,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy",76205,
"Salò, or the 120 Days of Sodom",Not Rated,117 min,"Drama, Horror, War",5.9,,"In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to one hundred and twenty days of physical, mental and sexual torture.",Pier Paolo Pasolini,"Paolo Bonacelli, Giorgio Cataldi, Umberto Paolo Quintavalle, Aldo Valletti",51799,
The Idiots,R,117 min,"Comedy, Drama",6.8,,"The group of people gather at the house in Copenhagen suburb to break all the limitations and to bring out the ""inner idiot"" in themselves.",Lars von Trier,"Bodil Jørgensen, Jens Albinus, Anne Louise Hassing, Troels Lyby",28991,7235
Another Year,PG-13,129 min,"Comedy, Drama",7.3,80,A look at four seasons in the lives of a happily married couple and their relationships with their family and friends.,Mike Leigh,"Jim Broadbent, Ruth Sheen, Lesley Manville, Oliver Maltman",27106,3205706
Happy-Go-Lucky,R,118 min,"Comedy, Drama, Romance",7,84,"A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",Mike Leigh,"Sally Hawkins, Alexis Zegerman, Samuel Roukin, Elliot Cowan",36843,3494485
Junebug,R,106 min,"Comedy, Drama",6.9,80,"A dealer in ""outsider"" art travels from Chicago to North Carolina to meet her new in-laws, challenging the equilibrium of this middle class Southern home.",Phil Morrison,"Embeth Davidtz, Alessandro Nivola, David Kuhn, Alicia Van Couvering",21813,2678691
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",Not Rated,202 min,Drama,7.8,,"A lonely widowed housewife does her daily chores, takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. However, something happens that changes her safe routine.",Chantal Akerman,"Delphine Seyrig, Jan Decorte, Henri Storck, Jacques Doniol-Valcroze",6615,19858
Tyrannosaur,Not Rated,92 min,Drama,7.6,65,"Joseph, a man plagued by violence and a rage that is driving him to self-destruction, earns a chance of redemption that appears in the form of Hannah, a Christian charity shop worker.",Paddy Considine,"Peter Mullan, Archie Lal, Jag Sanghera, Mike Fearnley",29528,22088
Shame,NC-17,101 min,Drama,7.2,72,A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,Steve McQueen,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",178030,4000304
If....,R,111 min,"Crime, Drama",7.5,,"In this allegorical story, a revolution led by pupil Mick Travis takes place at an old established private school in England.",Lindsay Anderson,"Malcolm McDowell, David Wood, Richard Warwick, Christine Noonan",21362,
Monsoon Wedding,R,114 min,"Comedy, Drama, Romance",7.3,77,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",Mira Nair,"Naseeruddin Shah, Lillete Dubey, Shefali Shah, Vijay Raaz",22797,13876974
3 Idiots,PG-13,170 min,"Comedy, Drama",8.4,67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",324617,6532908
Turtles Can Fly,PG-13,98 min,"Drama, War",8.1,85,"Near the Iraqi-Turkish border on the eve of an American invasion, refugee children like 13-year-old Kak (Ebrahim), gauge and await their fate.",Bahman Ghobadi,"Soran Ebrahim, Avaz Latif, Saddam Hossein Feysal, Hiresh Feysal Rahman",17241,256822
After the Wedding,R,120 min,Drama,7.7,78,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",Susanne Bier,"Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård, Neeral Mulchandani",30838,412544
Underground,Not Rated,167 min,"Comedy, Drama, War",8.1,,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Emir Kusturica,"Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac",53473,171082
"Schwarze Katze, weißer Kater",R,127 min,"Comedy, Crime, Romance",8.1,73,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Emir Kusturica,"Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini",49251,348660
The Lives of Others,R,137 min,"Drama, Mystery, Thriller",8.4,89,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur",344018,11286112
"I'm a Cyborg, But That's OK",Not Rated,105 min,"Comedy, Drama, Romance",7.1,,"A girl who thinks she is a combat cyborg checks into a mental hospital, where she encounters other psychotics. Eventually, she falls for a man who thinks he can steal people's souls.",Chan-wook Park,"Soo-jung Lim, Rain, Seong-hun Cheon, Hee-jin Choi",22234,
The Third Man,Approved,93 min,"Film-Noir, Mystery, Thriller",8.1,97,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard",152955,449191
