season,episode,release,title,rating,description
1,11,15 Dec. 2010,Indian Summer,8.1,"Peggy is given the opportunity to write copy for a new weight loss device that everyone knows is useless. She finds an interesting use for it, however. Afraid of losing the Lucky Strike cigarette account, Bert Cooper gets Roger Sterling to come in for a one-hour meeting but he has another attack. Don Draper becomes a partner and takes over for his friend Roger, but some of the ad men are sharpening their resumes nonetheless. Pete Campbell wants a promotion but Draper doesn't seem too interested. Pete sneaks into Don's office and takes home a parcel sent by Adam ..."
1,12,22 Dec. 2010,Nixon vs. Kennedy,9.0,"Election night arrives and the staff of Sterling Cooper has a party while watching the returns. The election is close and it's obviously going to be a long night. Now a senior partner in the firm, Don Draper must hire a new head of account services, a post that Pete Campbell yearns for. Aware of Draper's secret past, he tries to strong-arm him into giving him the job. With his secret out, Don panics and he asks Rachel Menken to run away with him. Regaining his composure, Don calls Pete's bluff leading to a confrontation with Bert Cooper."
1,13,29 Dec. 2010,The Wheel,9.0,"Don and Betty Draper have an argument when it becomes apparent that he doesn't want to spend Thanksgiving with her family and she plans on going only with the children. He also learns some information about his brother Adam. Pete Campbell confirms that he has landed an account from his father-in-law for a new skin care product called Clearasil. He objects however when Don gives the account to Peggy Olson, whom he has just promoted to junior copywriter. Peggy proves her mettle in auditions for the weight loss device but later is feeling unwell and goes to the hospital ..."
2,1,7 Sep. 2011,For Those Who Think Young,7.8,"On Valentine's Day, the staff of the Sterling Cooper Advertising Agency is hustling and checking out the newest office equipment. Don and Duck clash over an account, and Betty hears from an old friend."
2,2,14 Sep. 2011,Flight 1,7.9,"A plane crash causes the firm to go after the account for the airline involved and drop the smaller airline they have an account with. Peggy pays a visit to her mother and sister, who are now guardians of a child."
2,3,21 Sep. 2011,The Benefactor,7.9,Trouble rises on the set of a commercial while Don plays hooky from the office.
2,4,28 Sep. 2011,Three Sundays,8.1,Freddy and Ken take a client out to lunch who stirs Roger Sterling's heart.
2,5,5 Oct. 2011,The New Girl,8.3,"Joan finds Don the perfect secretary, and Don finds himself in the middle of issues between TV comedian Jimmy and his wife, Bobbie."
2,6,12 Oct. 2011,Maidenform,8.0,"Don and Duck try to bury the hatchet, and Peggy attempts to join in on the execs' after-hours meetings. Also, Duck receives a family visit at the office."
2,7,19 Oct. 2011,The Gold Violin,8.5,"To show that he has ""arrived,"" Don buys a new car. Pete, Harry and Ken come up with a plan to attract new business, and Don's secretary makes a serious error, which could mean trouble for Joan. Cooper gets a new piece of office art that attracts the interest of the Sterling Cooper staff."
2,8,26 Oct. 2011,A Night to Remember,8.4,"Betty becomes suspicious that Don is having an affair after her conversation with Jimmy Barrett, Joan helps out in the television department, and Peggy helps the church with a dance flyer."
2,9,2 Nov. 2011,Six Month Leave,8.5,"Don checks in to a hotel after his separation from Betty. Back at the office, he is forced to get rid of Freddy against his will because of his drinking problem."
2,10,9 Nov. 2011,The Inheritance,8.0,Don and Betty try to keep up appearances as they go to Betty's parents after her dad has a stroke. Peter has a long-dreaded meeting with his mother before he and Kinsey leave for a convention in Los Angeles.
2,11,16 Nov. 2011,The Jet Set,8.4,"Don blows off the convention in Los Angeles when he meets a beautiful, exotic woman. Back at Sterling Cooper, a member of the creative staff comes out of the closet, and Duck falls off the wagon and initiates his power play."
2,12,23 Nov. 2011,The Mountain King,8.5,"Don drops off the Sterling Cooper radar and visits the wife of the man whose identity he stole. Back at the office, Bert and Roger consider the merger offer, Peggy makes a play for a real office, and Peter loses his father-in-law's account."
2,13,30 Nov. 2011,Meditations in an Emergency,9.0,"Under the backdrop of the Cuban Missile Crisis, Don returns to New York just as Betty finds out that she is pregnant. Meanwhile, everybody at Sterling Cooper contemplates their futures as news of the merger slowly leaks out."
3,1,7 Dec. 2011,Out of Town,8.3,"Don accidentally learns a secret about Salvatore during a business trip to Baltimore. Back at the office, the firings continue, but the new management appoints Peter and Ken as new co-heads of accounts."
3,2,14 Dec. 2011,Love Among the Ruins,7.9,"Don is brought in to save the day for a P.R. campaign involving the building of the new Madison Square Garden, only to have the rug pulled out from under him. At home, Betty argues with her brother over how to care for their sick father."
3,3,21 Dec. 2011,My Old Kentucky Home,8.1,"Roger Sterling throws an expensive party with his new wife, Joan throws a dinner party, Peggy and Paul get stoned while working on an ad campaign, and Don's daughter Sally steals money from her grandpa."
3,4,4 Jan. 2012,The Arrangements,8.1,"Don has reservations about a misguided potential client who wants to sell jai alai as the ""new national pastime."" Meanwhile, Sal produces the ""Patio"" television commercial, Peggy searches for a roommate, and Betty's father passes away."
3,5,11 Jan. 2012,The Fog,8.0,"Betty has hallucinations of her dead father as she delivers her baby, Peter considers trying to sell the untapped ""Negro market"" to a reluctant client, and Peggy begins to question her future at Sterling Cooper."
3,6,18 Jan. 2012,Guy Walks Into an Advertising Agency,9.1,"The bosses come in from London to reorganize Sterling Cooper, but a key player's career is sidetracked by a freak accident. Meanwhile, as Joan prepares to leave her job, her husband gives her some bad news."
3,7,25 Jan. 2012,Seven Twenty Three,8.5,"As Don secures an account with Conrad Hilton, Sterling and Cooper try to strong-arm Don into signing a contract. Meanwhile, Betty meets with her acquaintance from the governor's office, and Duck tries to get Peggy to leave Sterling Cooper."
3,8,1 Feb. 2012,Souvenir,8.0,"Don and Betty renew their love affair while on a business trip to Rome, while Peter has a bout of infidelity with an au pair in his building while his wife is away."
3,9,8 Feb. 2012,Wee Small Hours,8.2,"Betty tries to meet with Henry Francis again, while Don steps up his pursuit of his daughter's former teacher. At the office, Don disappoints Conrad Hilton and is forced by a client to fire Salvatore over an unwelcome advance."
3,10,15 Feb. 2012,The Color Blue,8.3,"As Sterling Cooper prepares for its 40th anniversary party, the bosses in London drop a bombshell to Lane. Miss Farrell's troubled brother pays a visit to her and Don, and Betty stumbles onto her husband's secrets."
3,11,22 Feb. 2012,The Gypsy and the Hobo,9.2,"An old flame and potential client reenters Roger Sterling's life, Joan's husband searches for a new job, and Don finally comes clean to Betty about his true identity."
3,12,29 Feb. 2012,The Grown-Ups,8.9,"On the weekend of the John F. Kennedy assassination, Pete finds out that he lost the promotion to Cosgrove, Roger Sterling's daughter's wedding goes off as planned, and Betty musters up the courage to respond to Don's confessions."
3,13,29 Feb. 2012,Shut the Door. Have a Seat,9.7,"With another sale on the horizon, Sterling, Cooper, and Draper convince Lane Pryce to fire them and then join them as they start up a new advertising firm. At home, Betty follows through with her plans to divorce Don."
4,1,13 Feb. 2013,Public Relations,8.6,"The new firm is struggling for business, so Peter and Peggy resort to a cheap publicity stunt to lure a client. Meanwhile, Don's personal problems and an unflattering newspaper interview puts his and the firm's image in jeopardy."
4,2,20 Feb. 2013,Christmas Comes But Once a Year,8.2,"Freddy returns with a valuable new client, the firm reluctantly throws a Christmas party for its most important client, and Don prepares for his first Christmas away from his children."
4,3,27 Feb. 2013,The Good News,8.7,"Don flies to Los Angeles to visit Anna before his New Year's vacation to Acapulco, but her bad news influences him to cancel his vacation and return to New York, where he discovers that Lane has problems of his own."
4,4,6 Mar. 2013,The Rejected,8.3,"Peter finds out that he will become a father, and has to break some bad business news to his father-in-law. Meanwhile an office focus group study for a client has some unintended personal consequences for Don."
4,5,13 Mar. 2013,The Chrysanthemum and the Sword,8.7,"Don is forced to compete with a cocky upstart rival for a potential account with Honda motorcycles, but Roger's prejudice causes unexpected problems. Meanwhile Betty considers a psychiatrist for Sally because of her behavior."
4,6,20 Mar. 2013,Waldorf Stories,8.6,"Don has a wild lost weekend after winning a CLIO award, while Peggy is forced to work all weekend in a hotel room with an ""uninspired"" co-worker. Meanwhile, Peter is livid after he learns that the other partners hired Ken Cosgrove."
4,7,27 Mar. 2013,The Suitcase,9.7,"Don deliberately delays returning an important call from California, because he knows it's bad news about Anna. Instead, he keeps himself occupied by forcing Peggy to miss her birthday dinner to pull an all-nighter with him for a client."
4,8,3 Apr. 2013,The Summer Man,8.7,"While Don's thoughts turn inward while he deals with Anna's death, Peggy is placed in a difficult situation when an obnoxious new hire in the creative department is disrespectful to Joan."
4,9,10 Apr. 2013,The Beautiful Girls,8.8,"Sally makes an unwelcome surprise visit to the office to see Don, Peggy tries to stop an acquaintance from publishing an article that could get her in hot water, and Roger Sterling tries to reconnect with Joan."
4,10,17 Apr. 2013,Hands and Knees,8.7,"Don becomes frightened that his lie will be exposed when government agents question Betty about him, Lane has shocking news for his father when he comes to bring him home, and Joan considers having an abortion."
4,11,24 Apr. 2013,Chinese Wall,8.4,"The partners try to keep their cool after they discover that Roger has lost their biggest account, Peter's wife goes into labor, and Don tries to convince Faye to compromise her ethics to drum up new business."
4,12,1 May 2013,Blowing Smoke,8.9,"Don makes a bold, desperate move to save Sterling Cooper Draper Pryce, but the other partners are furious with his actions. Meanwhile, Sally's psychiatrist suggests that she is improving, but Betty is skeptical."
4,13,8 May 2013,Tomorrowland,9.0,"Don takes the kids to California and comes back with a surprise announcement. Meanwhile, Betty fires the kids' nanny before they move out of the old house over one questionable incident, and Peggy gets a shot at a new account."
5,1,1 Nov. 2013,"A Little Kiss, Part 1",8.6,"Megan throws Don a surprise birthday party, the war between Pete Campbell and Roger Sterling intensifies, and new mother Joan begins to wonder if she still has a job when she's ready to come back."
5,2,8 Nov. 2013,"A Little Kiss, Part 2",8.5,"Megan is hurt by Don's negative response to the surprise party, Lane finds a missing wallet in a cab, Joan makes an unexpected visit to the office, and Pete makes a play for a bigger office."
5,3,16 Nov. 2013,Tea Leaves,7.9,"Betty discovers that she has a tumor, Peggy interviews an obnoxious young copywriter for a job, the firm tries to get the Mohawk Airlines account back, and Don and Harry try to court The Rolling Stones to record a commercial."
5,4,22 Nov. 2013,Mystery Date,8.6,"Don runs into someone from his past. Joan makes a decision, and Roger gives Peggy extra work."
5,5,29 Nov. 2013,Signal 30,9.0,"While Lane needs some help closing with a potential new client, Peter begins to crack under the pressure of both his home life and work life."
5,6,6 Dec. 2013,Far Away Places,9.2,"A peaceful hotel getaway ends in disaster for Don and Megan, an LSD trip could have a disastrous effect on Roger's marriage, and Peggy loses her cool after an unsuccessful pitch meeting."
5,7,13 Dec. 2013,At the Codfish Ball,8.7,"Don gets a visit from the in-laws and his children just as he's about to receive a prestigious award and tries to save the Heinz account. Meanwhile, Peggy and her boyfriend take the next step in their relationship."
5,8,11 Jan. 2014,Lady Lazarus,8.3,"Megan convinces Don that she should give up her job at the firm so that she can pursue a career on Broadway, while Peter has a fling with an acquaintance's wife."
5,9,17 Jan. 2014,Dark Shadows,8.1,"A depressed Betty tries to make things uncomfortable for Don and Megan, Roger tries to take out some secret weapons for a meeting with a prospective Jewish client, and Don makes a snap judgment that angers the creative department."
5,10,25 Jan. 2014,Christmas Waltz,8.2,"Lane searches for a way to get rid of a sizable debt, the firm prepares to pull out all the stops when it gets a second chance to land Jaguar as a client, and Don tries to comfort Joan when she reaches her breaking point."
5,11,1 Feb. 2014,The Other Woman,9.4,"Peter asks Joan to make an unspeakable sacrifice to help secure the Jaguar account, Peggy prepares to make a drastic move in response to Don's treatment, and Megan's acting career begins to create tension with her and Don."
5,12,7 Feb. 2014,Commissions and Fees,9.4,"Lane's entire world comes crashing down after getting busted for forging Don's signature on a check, and Sally experiences an awkward rite of passage while spending the weekend with the Drapers."
5,13,14 Feb. 2014,The Phantom,8.6,"As the partners consider expanding the office space, Don begins seeing ghosts and gets a request to advance Megan's acting career. Meanwhile, Peter's affair comes to a disappointing end, and Megan's mom briefly reunites with Roger."
6,1,15 Apr. 2015,"The Doorway, Part 1",7.6,"Don and Megan take a trip to Hawaii for the holidays, Sally's friend visits the Francis family, a comedian torpedoes Peggy's Super Bowl ad campaign, and Roger gets some bad news about his mother."
6,2,22 Apr. 2015,"The Doorway, Part 2",7.8,"Don strikes up a friendship with the surgeon in his building, Peggy tries to save her campaign, Roger makes a scene at his mother's funeral, and Betty goes to Manhattan to find Sally's friend."
6,3,29 Apr. 2015,Collaborators,7.9,"While Don continues his affair with Sylvia, Pete's latest infidelity threatens his marriage. Meanwhile, Peggy's icy relationship with her new staff continues, but she also gets an unlikely tip on a potential new client."
6,4,6 May 2015,To Have and to Hold,8.1,"Don works in secret on a Heinz ketchup campaign while Megan gets a love scene on the set of her soap opera. Meanwhile, Harry makes his power play while Joan has more trouble with the secretaries."
6,5,13 May 2015,The Flood,8.3,"Set among the events surrounding Martin Luther King's assassination, Peggy tries to get a new apartment, Ginsberg is set up on a date, and Don has a revelation during his weekend with the kids."
6,6,20 May 2015,For Immediate Release,8.9,"As the firm prepares to go public, Don and Pete's actions cause them to lose two huge clients. However, Roger uses a new connection to put them in position to gain their biggest client ever."
6,7,27 May 2015,Man with a Plan,8.0,"Things quickly become awkward after the two firms merge, Don asserts his dominance over Sylvia, Pete has to deal with his ailing mother, and Bob Benson helps out a sick Joan."
6,8,3 Jun. 2015,The Crash,8.7,"The creative department has a wild, drug-influenced weekend as they work on the Chevy account, Don has trouble letting go of Sylvia, and Sally walks in on an unwelcome intruder."
6,9,10 Jun. 2015,The Better Half,8.4,"Peggy becomes unsatisfied with her apartment and with Abe, Don has an eventful weekend with Betty while Megan has problems on the set, Roger has time with his grandson, and Pete begins exploring his options outside the firm."
6,10,17 Jun. 2015,A Tale of Two Cities,8.1,Cutler and Chaough prepare to make radical changes to the firm while Sterling and Draper are visiting a client in Los Angeles. Joan's decision to go after a new account on her own leaves Pete furious and frustrated.
6,11,24 Jun. 2015,Favors,8.8,"Don is preoccupied with keeping Sylvia's son from being drafted, Peggy has a rat in her apartment, Don and Ted bury the hatchet, Pete has a problem with his mother's new nurse, and Sally makes an accidental discovery about her father."
6,12,1 Jul. 2015,The Quality of Mercy,8.5,"Don renews his battle with Ted after seeing his relationship with Peggy, Sally interviews at a boarding school, and Pete discovers Bob Benson's background."
6,13,8 Jul. 2015,In Care Of,9.2,"With his personal and professional life crumbling around him, Don positions himself for a change of scenery. Meanwhile, Pete's life is falling apart as well, thanks to the meddling of Bob Benson."
7,1,10 Aug. 2016,Time Zones,8.0,"Don is on the outside looking in on the forced indefinite paid leave from his job. While Ted heads back to New York for a few days, Don takes the opportunity to head to Los Angeles in part to meet with a California transformed Pete while he reunites with Megan, who is living full time there while pursuing what looks to be a promising acting career. Back in New York, Peggy avoids Ted at all cost while she learns to deal with the new ""Don"", Lou Avery, most specifically on the Accutron account for which she is getting consulting help from Freddie Rumsen. On top of that, ..."
7,2,17 Aug. 2016,A Day's Work,8.4,"Sally discovers that Don is not working, Pete lands a big account but is undercut by management, and Joan is forced to move some secretaries around after Lou and Peggy have some problems."
7,3,24 Aug. 2016,Field Trip,8.6,"After a fight with Megan during a surprise trip to California, Don decides it's time to get back to work. Meanwhile, Betty joins Bobby on a field trip to a farm."
7,4,31 Aug. 2016,The Monolith,8.5,"Don returns to work, but quickly falls off the wagon after learning that he's been assigned to Peggy. Meanwhile, Roger and his ex-wife go to a commune to rescue their daughter, who has abandoned her child."
7,5,7 Sep. 2016,The Runaways,8.6,"While Lou becomes the object of ridicule for the copy writers, Don tries to get away to California after a call from his pregnant niece. Meanwhile, the new office computer drives Ginsberg to the brink of insanity."
7,6,14 Sep. 2016,The Strategy,9.0,"Peggy has second thoughts about her Burger Chef campaign when Don is asked to pitch her commercial, Pete visits his wife and daughter on his trip back to New York, and Bob Benson gets some surprising news from G.M. about the account."
7,7,21 Sep. 2016,Waterloo,9.5,"Don and Peggy prepare to pitch to Burger Chef, one day after the Apollo Moon Landing. Meanwhile, a power struggle in the firm between Sterling and Cutler leaves Don's future hanging in the balance."
7,8,28 Sep. 2016,Severance,8.3,"Don is oddly drawn to a diner waitress as he learns about the loss of an old acquaintance, Peggy and Joan are disrespected by a chauvinistic client, and Cosgrove is in for big changes after his biggest business connection retires."
7,9,5 Oct. 2016,New Business,7.9,"While Megan comes to New York with her mother and sister to collect her belongings, Don has a romance with the waitress. Meanwhile, Peggy and Stan work with a famous photographer on a commercial shoot."
7,10,12 Oct. 2016,The Forecast,8.4,"Don decides to sell his apartment, Joan stumbles into a relationship while on a trip to Los Angeles, Glen tells Betty and Sally that he is going to Vietnam, and a copywriter gets in trouble for his rude behavior to a client."
7,11,19 Oct. 2016,Time & Life,9.0,"The partners discover that the firm is losing its independence and there's nothing they can do about it. Peggy is not sure if she wants to come along. Meanwhile, Pete and Trudy have trouble getting their daughter into private school."
7,12,8 Nov. 2016,Lost Horizon,9.0,Don goes AWOL from McCann Erickson in the middle of a meeting. Joan quickly gets fed up with the sexism at the new firm. Roger and Peggy put off reporting to their new jobs as long as possible.
7,13,15 Nov. 2016,The Milk and Honey Route,9.2,Don is stuck in Oklahoma after his car breaks down. Betty discovers that she is not in good health. Pete gets an unexpected job offer that could enable him to get his life with Trudy and his daughter back.
7,14,22 Nov. 2016,Person to Person,9.3,"Don's journey ends in California with Anna's niece, Stephanie, where he contemplates his future. Roger decides to marry Megan's mother, Marie. Joan has a business proposition for Peggy, who is coming to terms with her feelings for Stan."
